,id,date,state,sentiment
239,1256091435591442433,2020-05-01,KA,-1
240,1256093752675962881,2020-05-01,TG,-1
241,1256094660403105792,2020-05-01,UP,-1
242,1256097694810091520,2020-05-01,PB,-1
243,1256098627157721088,2020-05-01,PB,-1
244,1256098863770812416,2020-05-01,DL,-1
245,1256103539891482625,2020-05-01,MP,-1
246,1256105707876818944,2020-05-01,WB,-1
247,1256107201082638336,2020-05-01,GJ,-1
248,1256107260222332928,2020-05-01,GJ,-1
249,1256109900012412928,2020-05-01,TG,-1
250,1256110352045137921,2020-05-01,MH,-1
251,1256118604535398400,2020-05-01,TN,-1
252,1256119490510815233,2020-05-01,TG,-1
253,1256121273475715072,2020-05-01,AR,-1
254,1256123514563657735,2020-05-01,MH,-1
255,1256124161216385025,2020-05-01,UP,-1
256,1256125317984522245,2020-05-01,MH,-1
257,1256125842146631682,2020-05-01,RJ,-1
258,1256125991820419072,2020-05-01,PB,-1
259,1256134040605745152,2020-05-01,UP,-1
260,1256137392572030976,2020-05-01,KA,-1
261,1256138468167737344,2020-05-01,DL,-1
262,1256143911682224128,2020-05-01,GJ,-1
263,1256144122550902785,2020-05-01,GJ,-1
264,1256146397885325312,2020-05-01,MH,-1
265,1256149566635810817,2020-05-01,AP,1
266,1256149724144578564,2020-05-01,DL,-1
267,1256154207234768896,2020-05-01,TG,-1
268,1256154317586923522,2020-05-01,MH,-1
269,1256156907040980992,2020-05-01,TG,-1
270,1256158263172673537,2020-05-01,HR,-1
271,1256161608180666368,2020-05-01,DL,-1
272,1256161994299891713,2020-05-01,TN,-1
273,1256163777369845760,2020-05-01,DL,-1
274,1256164449980833793,2020-05-01,MH,-1
275,1256171116386803712,2020-05-01,UP,-1
276,1256171412689170433,2020-05-01,MZ,-1
277,1256171471090495488,2020-05-01,TN,-1
278,1256179274991763459,2020-05-01,MH,-1
279,1256180559753043968,2020-05-01,TN,-1
280,1256181656723034112,2020-05-01,AP,-1
281,1256182057891487745,2020-05-01,DL,-1
282,1256196055886151680,2020-05-01,KL,-1
283,1256199054515752960,2020-05-01,MH,-1
284,1256200107143434240,2020-05-01,TN,-1
285,1256202874511482880,2020-05-01,MH,-1
286,1256206001793110019,2020-05-01,TN,-1
287,1256207151699300363,2020-05-01,UP,-1
288,1256216252969877504,2020-05-01,WB,-1
289,1256218771607433218,2020-05-01,UP,-1
290,1256220852485586947,2020-05-01,DL,-1
291,1256221598031450120,2020-05-01,TG,-1
292,1256227701561704450,2020-05-01,GJ,-1
293,1256228168576401408,2020-05-01,MH,-1
294,1256233774628712449,2020-05-01,MH,-1
295,1256237258971197446,2020-05-01,MH,-1
296,1256238402929909761,2020-05-01,MH,-1
297,1256242152599937028,2020-05-01,TN,-1
298,1256246323571023875,2020-05-01,HP,-1
299,1256247103812243462,2020-05-01,RJ,-1
300,1256256438978174976,2020-05-01,MH,-1
301,1256259735071973383,2020-05-01,GJ,-1
302,1256270991493193728,2020-05-01,MH,-1
303,1256274509440724994,2020-05-01,KA,-1
304,1256278756957749249,2020-05-01,WB,-1
305,1256280585628266496,2020-05-01,RJ,-1
306,1256285115728244743,2020-05-01,WB,-1
307,1256292997479661569,2020-05-01,TN,-1
308,1256305321376534528,2020-05-01,MH,-1
309,1256333001618644993,2020-05-01,TG,-1
310,1256333057142874112,2020-05-01,KA,-1
311,1256341324355100672,2020-05-01,RJ,1
312,1256350374719631364,2020-05-01,AS,-1
313,1256373056337072129,2020-05-02,DL,-1
314,1256390992028196871,2020-05-02,MH,-1
315,1256402543275622400,2020-05-02,MH,-1
316,1256411490283859968,2020-05-02,GJ,-1
317,1256413048178307072,2020-05-02,TN,-1
318,1256415479104757761,2020-05-02,TN,-1
319,1256415500768182277,2020-05-02,MH,-1
320,1256419503703035904,2020-05-02,RJ,-1
321,1256422323521019904,2020-05-02,MH,-1
322,1256425849303240704,2020-05-02,MH,-1
323,1256433744577167363,2020-05-02,MH,-1
324,1256437268547547136,2020-05-02,MH,-1
325,1256438666043539458,2020-05-02,MH,1
326,1256439831338668038,2020-05-02,KA,-1
327,1256441293170814976,2020-05-02,KA,-1
328,1256451132416823297,2020-05-02,HR,-1
329,1256455115873169408,2020-05-02,WB,-1
330,1256457955274350592,2020-05-02,MH,-1
331,1256461076138528768,2020-05-02,MH,-1
332,1256465392463155200,2020-05-02,RJ,-1
333,1256466607360090115,2020-05-02,RJ,-1
334,1256466821219221504,2020-05-02,TG,-1
335,1256471081965191168,2020-05-02,UP,-1
336,1256471482022141952,2020-05-02,TN,-1
337,1256471761111130113,2020-05-02,MH,-1
338,1256472858424991744,2020-05-02,TN,-1
339,1256475780911153153,2020-05-02,DL,-1
340,1256477114649522176,2020-05-02,MH,1
341,1256477522486865921,2020-05-02,AP,-1
342,1256479008717406209,2020-05-02,KL,-1
343,1256483423683850240,2020-05-02,UP,-1
344,1256487351733432323,2020-05-02,MH,-1
345,1256488154799976449,2020-05-02,AP,-1
346,1256490056644202496,2020-05-02,DL,-1
347,1256490793444966400,2020-05-02,GJ,-1
348,1256491864607395840,2020-05-02,HP,-1
349,1256493307833835521,2020-05-02,UP,-1
350,1256494924146581504,2020-05-02,GJ,-1
351,1256501526081810432,2020-05-02,UP,-1
352,1256508957444788224,2020-05-02,TN,-1
353,1256509704450211840,2020-05-02,UT,-1
354,1256511908905172992,2020-05-02,UT,-1
355,1256515847486451712,2020-05-02,KA,-1
356,1256516213368401920,2020-05-02,MH,-1
357,1256516725748764672,2020-05-02,MH,-1
358,1256517961193385984,2020-05-02,HP,-1
359,1256521892023975944,2020-05-02,MH,-1
360,1256526700743143424,2020-05-02,UP,-1
361,1256528046980567040,2020-05-02,UP,-1
362,1256530577030709249,2020-05-02,TR,-1
363,1256531934601248768,2020-05-02,KL,-1
364,1256532201623171072,2020-05-02,MH,1
365,1256535444000563200,2020-05-02,UT,-1
366,1256536210727723011,2020-05-02,TN,-1
367,1256537051148816384,2020-05-02,AS,-1
368,1256538344999223303,2020-05-02,AS,-1
369,1256538953265614848,2020-05-02,AS,-1
370,1256539692264087552,2020-05-02,UP,-1
371,1256539693300121601,2020-05-02,UP,-1
372,1256540097421422593,2020-05-02,MH,-1
373,1256543360975863810,2020-05-02,MH,-1
374,1256543871431041026,2020-05-02,UP,-1
375,1256550215391358978,2020-05-02,KA,-1
376,1256554408034234369,2020-05-02,CT,-1
377,1256555078682578945,2020-05-02,GA,-1
378,1256555169547837440,2020-05-02,UP,-1
379,1256556362299052032,2020-05-02,MH,-1
380,1256558150292996097,2020-05-02,MH,-1
381,1256558452630884352,2020-05-02,GA,-1
382,1256561434932240384,2020-05-02,KA,1
383,1256563609938784257,2020-05-02,KA,-1
384,1256564204724772864,2020-05-02,KA,-1
385,1256566706652286976,2020-05-02,GJ,-1
386,1256568105444179970,2020-05-02,OR,1
